temp,feelslike,dew,humidity,precip,precipprob,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy
1.2,-3.3,-0.6,87.42,0.0,0,27.7,17.5,59,1016.2,100.0,11.6,0,0.0
1.2,-2.9,-0.6,87.42,0.0,0,35.3,15.2,68,1015.5,100.0,10.0,0,0.0
1.2,-2.4,-0.7,87.45,0.0,0,29.5,12.1,79,1015.3,100.0,8.6,0,0.0
0.7,-3.5,-1.1,87.39,0.134,100,31.3,15.2,39,1016.7,100.0,7.8,0,0.0
0.6,-3.1,-1.2,87.38,0.701,100,33.5,12.5,3,1017.9,100.0,2.9,0,0.0
0.0,-5.5,-1.6,88.68,0.222,100,33.5,21.8,27,1018.7,100.0,2.4,0,0.0
-0.6,-5.6,-2.8,85.07,0.005,100,22.3,17.3,30,1019.5,98.8,15.5,0,0.0
0.0,-4.4,-3.3,78.53,0.0,0,22.3,15.2,9,1020.8,100.0,15.9,0,0.0
0.0,-4.4,-3.3,78.53,0.0,0,20.5,14.9,350,1021.9,100.0,16.0,0,0.0
0.0,-5.0,-3.3,78.17,0.0,0,18.4,18.2,350,1023.1,100.0,16.0,0,0.0
-0.6,-5.5,-4.0,77.98,0.0,0,22.3,16.8,351,1024.6,89.0,16.0,8,0.0
-0.6,-5.5,-5.1,71.91,0.0,0,22.3,16.8,350,1025.8,1.6,16.0,41,0.1
0.1,-5.5,-5.7,65.01,0.0,0,37.1,22.8,1,1027.0,0.9,16.0,157,0.6
1.2,-4.4,-6.1,58.24,0.0,0,37.1,25.4,10,1027.8,0.0,16.0,327,1.2
2.2,-3.0,-6.2,53.94,0.0,0,40.7,24.4,11,1028.7,0.0,16.0,561,2.0
2.9,-2.3,-6.7,49.19,0.0,0,39.5,26.4,28,1029.2,0.0,16.0,685,2.5
3.9,-1.1,-7.8,42.36,0.0,0,38.0,26.2,19,1029.6,0.0,16.0,720,2.6
