temp,feelslike,dew,humidity,precip,precipprob,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
10.2,10.2,8.4,88.31,0.0,0,33.8,12.3,172,1002.0,100.0,5.9,106,0.4,1
10.9,10.9,8.4,84.39,0.257,100,41.8,16.6,178,1000.9,100.0,10.4,183,0.7,2
10.9,10.9,8.4,84.93,0.346,100,29.9,13.8,180,1000.3,100.0,11.4,67,0.2,1
10.8,10.8,8.9,88.01,2.437,100,36.4,12.6,170,999.3,100.0,5.9,79,0.3,1
11.4,11.4,10.0,91.42,1.17,100,36.0,15.8,205,999.0,100.0,4.7,112,0.4,1
11.9,11.9,9.5,85.31,0.254,100,33.5,16.6,223,999.2,100.0,13.3,113,0.4,1
8.7,6.1,6.4,85.34,0.743,100,50.0,16.5,287,1000.4,100.0,14.3,54,0.2,1
9.1,6.8,5.8,79.83,0.0,0,35.6,15.2,281,1001.0,90.3,16.0,132,0.5,1
8.1,7.3,5.1,81.48,0.0,0,18.7,6.0,217,1001.4,1.6,16.0,26,0.1,0
4.4,3.0,3.6,94.55,0.0,0,10.8,6.1,180,1001.9,0.9,11.7,0,0.0,0
5.8,4.1,3.9,88.01,0.0,0,15.8,7.8,205,1002.4,87.2,16.0,0,0.0,0
5.3,3.6,3.9,91.06,0.0,0,16.6,7.4,197,1002.0,50.0,16.0,0,0.0,0
5.9,3.5,3.4,83.95,0.0,0,23.0,11.7,207,1001.9,89.0,16.0,0,0.0,0
7.0,4.2,3.9,81.03,0.0,0,25.2,15.0,209,1001.6,99.6,16.0,0,0.0,0
7.0,4.7,3.9,80.51,0.0,0,21.6,11.9,210,1001.4,84.7,16.0,0,0.0,0
6.9,4.3,3.4,78.11,0.0,0,26.6,14.0,210,1001.2,86.5,16.0,0,0.0,0
7.0,4.1,3.4,78.12,0.0,0,31.3,15.4,226,1001.0,99.6,16.0,0,0.0,0
6.9,3.8,2.9,75.8,0.0,0,30.6,16.9,228,1000.6,99.6,16.0,0,0.0,0
6.4,3.6,1.9,72.97,0.0,0,32.8,13.8,227,1000.3,89.0,16.0,0,0.0,0
6.0,3.1,1.9,75.05,0.0,0,22.0,13.7,209,1000.5,8.4,16.0,0,0.0,0
5.9,3.3,1.3,72.35,0.0,0,37.1,12.1,218,1000.7,5.9,16.0,99,0.4,1
7.0,3.5,1.3,66.94,0.0,0,38.2,21.6,219,1001.2,1.6,16.0,216,0.8,2
7.2,3.3,1.3,66.11,0.0,0,40.7,25.3,228,1001.3,83.4,16.0,223,0.8,2
7.0,2.9,0.8,64.48,0.0,0,42.6,27.4,220,1001.5,100.0,16.0,203,0.7,2
7.1,3.6,1.7,68.21,0.0,0,33.1,21.7,230,1001.7,100.0,16.0,272,1.0,3
8.1,5.0,0.8,59.86,0.0,0,37.4,20.4,232,1001.3,100.0,16.0,487,1.8,5
7.5,3.4,-0.4,57.31,0.0,0,40.6,29.0,244,1001.6,100.0,16.0,246,0.9,2
8.1,4.0,-0.9,52.85,0.0,0,44.6,31.5,241,1001.8,100.0,16.0,191,0.7,2
8.2,4.9,-0.9,52.54,0.0,0,40.9,22.4,224,1001.9,100.0,16.0,285,1.0,3
8.1,4.6,-1.4,51.16,0.0,0,40.7,24.4,257,1002.2,100.0,16.0,198,0.7,2
7.6,3.9,-1.4,52.72,0.0,0,33.8,24.2,250,1002.7,100.0,16.0,132,0.5,1
7.0,4.1,-0.4,59.31,0.0,0,44.6,15.6,247,1003.3,99.6,16.0,73,0.3,1
6.0,3.0,-1.3,59.61,0.0,0,27.4,14.5,240,1003.4,99.6,16.0,19,0.1,0
4.7,1.7,-2.4,59.95,0.0,0,19.1,13.2,230,1003.9,89.0,16.0,0,0.0,0
4.5,1.7,-1.5,65.05,0.0,0,21.2,11.5,226,1004.1,77.9,16.0,0,0.0,0
4.1,2.5,-1.0,69.26,0.0,0,25.9,6.7,227,1004.0,98.4,16.0,0,0.0,0
3.6,1.1,-0.5,74.25,0.0,0,22.3,9.9,219,1003.9,99.6,16.0,0,0.0,0
3.6,0.6,0.0,77.63,0.0,0,15.5,11.7,229,1003.2,100.0,16.0,0,0.0,0
3.6,1.4,0.1,78.13,0.0,0,15.5,8.3,200,1002.7,100.0,16.0,0,0.0,0
3.1,-0.2,0.1,80.62,0.0,0,21.6,13.2,201,1002.3,100.0,16.0,0,0.0,0
3.1,0.1,0.1,80.62,0.0,0,33.1,11.4,210,1001.9,100.0,16.0,0,0.0,0
3.1,0.8,0.0,80.1,0.0,0,21.6,8.7,209,1001.7,100.0,16.0,0,0.0,0
2.5,0.1,0.0,83.77,0.0,0,27.7,8.4,200,1001.5,100.0,16.0,0,0.0,0
3.1,0.8,0.1,80.53,0.0,0,16.2,8.7,201,1001.6,100.0,16.0,3,0.0,0
3.6,0.0,0.7,81.21,0.0,0,29.9,14.9,227,1001.5,99.6,16.0,32,0.1,0
4.1,0.7,0.7,78.7,0.0,0,27.7,14.8,220,1001.7,100.0,16.0,128,0.5,1
4.6,0.5,1.2,78.55,0.0,0,25.9,20.5,229,1001.7,100.0,16.0,209,0.8,2
5.3,1.8,1.1,74.58,0.0,0,25.6,17.1,244,1002.0,100.0,16.0,177,0.6,2
5.9,3.0,1.2,71.99,0.0,0,22.0,14.0,239,1002.0,100.0,16.0,292,1.1,3
7.4,4.4,1.2,64.9,0.0,0,22.7,17.3,255,1001.8,100.0,16.0,348,1.3,3
8.4,5.6,1.3,60.95,0.0,0,23.4,18.4,248,1001.2,89.7,15.9,536,1.9,5
6.4,2.7,2.0,73.0,0.134,100,31.7,22.1,288,1001.5,90.6,14.3,398,1.4,4
7.8,6.2,2.9,71.18,0.45,100,38.0,8.9,244,1001.0,90.3,15.2,452,1.6,5
9.0,5.6,0.9,56.9,0.0,0,40.3,25.6,259,1001.2,98.8,15.7,275,1.0,3
9.0,5.8,0.2,54.2,0.0,0,37.4,23.6,258,1001.6,90.6,16.0,277,1.0,3
8.6,5.4,-0.3,53.67,0.0,0,35.3,21.2,241,1001.9,89.4,16.0,100,0.4,1
6.5,2.5,0.8,67.29,0.0,0,35.2,24.1,297,1002.9,99.6,16.0,17,0.1,0
4.7,1.6,0.7,75.18,0.0,0,29.5,13.9,288,1003.6,90.3,16.0,0,0.0,0
3.8,-0.8,0.8,80.66,0.0,0,33.1,23.6,287,1004.2,100.0,16.0,0,0.0,0
3.7,0.7,0.8,81.41,0.0,0,31.3,12.1,300,1004.3,100.0,16.0,0,0.0,0
3.7,-0.1,0.8,81.42,0.0,0,34.2,16.6,300,1004.2,100.0,16.0,0,0.0,0
3.6,0.3,0.8,81.73,0.0,0,28.4,13.4,283,1004.0,100.0,16.0,0,0.0,0
3.1,-0.3,0.2,81.27,0.0,0,28.4,13.3,300,1003.9,100.0,16.0,0,0.0,0
2.5,-1.0,-0.5,80.53,0.0,0,25.6,13.3,303,1003.8,100.0,15.9,0,0.0,0
1.9,-1.9,-1.5,78.12,0.0,0,25.9,14.1,300,1004.1,100.0,16.0,0,0.0,0
1.0,-3.0,-2.5,77.52,0.0,0,28.1,13.7,299,1004.5,100.0,15.6,0,0.0,0
0.3,-3.4,-3.1,78.01,0.0,0,24.8,11.9,309,1004.9,100.0,15.9,0,0.0,0
-0.3,-3.8,-3.6,78.41,0.0,0,23.8,10.3,306,1005.4,90.6,15.9,3,0.0,0
-0.3,-4.1,-3.6,78.31,0.0,0,24.8,11.7,307,1006.2,89.0,16.0,46,0.2,0
1.4,-2.4,-3.2,71.71,0.0,0,25.2,13.5,306,1006.7,29.6,16.0,171,0.6,2
2.0,-3.0,-3.7,65.98,0.0,0,28.4,22.1,281,1007.0,84.7,16.0,259,0.9,3
2.5,-1.9,-3.7,63.67,0.0,0,24.1,18.5,306,1007.4,100.0,16.0,305,1.1,3
3.3,-0.6,-4.0,58.51,0.0,0,35.3,17.0,311,1007.3,100.0,16.0,320,1.2,3
3.1,-0.6,-4.8,55.86,0.0,0,23.4,15.6,291,1007.8,100.0,16.0,332,1.2,3
4.1,0.3,-4.3,54.55,0.0,0,22.3,17.1,297,1008.1,100.0,16.0,335,1.2,3
3.7,-0.6,-3.8,58.08,0.0,0,25.9,20.6,305,1008.2,100.0,16.0,173,0.6,2
3.7,-0.5,-3.2,60.82,0.0,0,35.3,18.8,299,1008.4,100.0,16.0,167,0.6,2
4.1,0.2,-3.2,58.85,0.0,0,22.3,18.8,296,1008.6,100.0,16.0,196,0.7,2
4.1,0.1,-3.2,59.1,0.0,0,33.5,18.9,310,1009.2,100.0,16.0,89,0.3,1
3.6,0.2,-3.7,58.81,0.0,0,28.8,14.5,299,1009.9,100.0,16.0,32,0.1,0
3.6,0.3,-3.3,60.65,0.0,0,28.4,13.8,290,1010.4,100.0,16.0,13,0.0,0
3.6,-0.1,-3.2,61.22,0.0,0,34.9,15.5,269,1011.0,100.0,16.0,0,0.0,0
3.1,-0.8,-2.1,68.43,0.0,0,42.5,16.6,286,1012.0,100.0,16.0,0,0.0,0
3.1,-1.4,-2.6,65.97,0.0,0,39.2,20.6,289,1012.3,100.0,16.0,0,0.0,0
2.5,-2.0,-2.7,68.8,0.0,0,33.8,18.9,297,1012.7,100.0,16.0,0,0.0,0
2.0,-1.3,-3.2,68.26,0.0,0,17.3,11.9,292,1013.0,100.0,16.0,0,0.0,0
1.1,-2.5,-4.2,68.05,0.0,0,21.2,12.1,309,1013.7,14.4,16.0,0,0.0,0
-1.1,-4.6,-4.9,75.73,0.0,0,19.1,10.0,282,1014.0,2.9,16.0,0,0.0,0
-1.7,-5.7,-4.9,78.82,0.0,0,22.7,11.5,290,1014.5,1.6,16.0,0,0.0,0
-1.7,-6.1,-4.8,79.37,0.0,0,20.9,13.0,280,1015.0,24.5,16.0,0,0.0,0
-2.3,-6.1,-5.4,79.38,0.0,0,22.7,10.0,281,1015.7,0.0,16.0,0,0.0,0
-1.4,-4.4,-4.9,77.09,0.0,0,16.2,8.3,283,1016.0,4.7,16.0,5,0.0,0
-0.8,-3.1,-4.2,77.76,0.0,0,22.0,6.4,309,1017.0,1.6,16.0,70,0.3,1
2.4,-0.8,-3.3,66.27,0.0,0,14.0,11.6,311,1017.1,0.9,16.0,232,0.8,2
4.5,1.5,-3.2,57.1,0.0,0,20.5,13.3,4,1017.2,0.9,16.0,439,1.6,4
6.3,6.3,-3.2,50.58,0.0,0,15.1,1.1,358,1017.3,0.9,16.0,621,2.2,6
7.5,5.4,-2.2,50.48,0.0,0,12.2,11.2,255,1017.0,0.9,16.0,763,2.7,8
9.5,9.0,-2.7,42.2,0.0,0,14.8,5.9,359,1016.9,0.9,16.0,847,3.0,8
11.2,11.2,-3.7,35.1,0.0,0,7.6,1.4,319,1016.4,0.9,16.0,868,3.1,9
11.4,11.4,-2.8,36.99,0.0,0,5.4,8.9,150,1015.6,0.9,16.0,821,3.0,8
12.3,12.3,-2.9,34.53,0.0,0,7.6,7.9,143,1015.0,0.9,16.0,715,2.6,7
13.0,13.0,-2.8,33.37,0.0,0,11.9,10.2,152,1014.3,1.6,16.0,496,1.8,5
12.9,12.9,-2.8,33.39,0.0,0,25.9,18.6,184,1014.0,1.6,16.0,385,1.4,4
12.3,12.3,-0.6,41.1,0.0,0,19.8,18.3,139,1013.5,1.6,16.0,159,0.6,2
10.1,10.1,-0.6,47.37,0.0,0,24.8,11.9,139,1013.2,1.6,16.0,23,0.1,0
8.0,5.2,-0.9,53.36,0.0,0,32.8,16.4,130,1013.5,2.9,16.0,0,0.0,0
5.9,3.3,-0.5,63.53,0.0,0,37.4,12.3,129,1013.6,1.6,16.0,0,0.0,0
5.2,2.1,-0.6,66.16,0.0,0,29.5,14.4,139,1013.4,1.6,16.0,0,0.0,0
5.2,2.3,-0.5,66.51,0.0,0,41.4,13.1,149,1014.0,2.9,16.0,0,0.0,0
5.8,2.6,-1.0,61.54,0.0,0,43.2,16.3,120,1013.3,3.2,16.0,0,0.0,0
5.3,1.9,-1.1,63.54,0.0,0,43.9,16.8,119,1012.2,3.2,16.0,0,0.0,0
5.8,2.6,-1.1,61.14,0.0,0,33.8,16.1,119,1011.1,26.9,16.0,0,0.0,0
7.4,4.1,-0.5,57.13,0.0,0,31.7,20.6,129,1009.6,100.0,16.0,0,0.0,0
7.4,4.8,0.1,59.58,0.0,0,32.8,15.0,128,1009.2,100.0,16.0,0,0.0,0
7.0,3.9,1.2,66.47,0.257,100,35.6,17.9,130,1008.8,98.8,15.9,0,0.0,0
5.9,3.7,1.8,74.87,0.484,100,39.2,10.5,131,1008.4,3.2,15.9,3,0.0,0
5.9,3.5,2.3,77.45,0.0,0,27.0,11.1,109,1008.3,29.9,15.9,34,0.1,0
8.1,6.8,3.4,72.23,0.0,0,29.9,7.8,145,1008.2,100.0,16.0,158,0.6,2
11.8,11.8,5.0,63.05,0.0,0,34.9,14.6,187,1007.9,51.6,16.0,352,1.3,4
14.6,14.6,6.6,58.58,0.0,0,27.7,16.2,225,1007.7,5.9,16.0,557,2.0,6
18.4,18.4,7.9,50.24,0.0,0,36.7,20.2,237,1008.0,2.9,16.0,735,2.6,7
19.2,19.2,6.9,44.96,0.0,0,31.7,18.4,227,1007.8,28.3,16.0,841,3.0,8
